Date,Adj Close,Close,High,Low,Open,Volume,RSI_14,MACD,MACD_SIGNAL,MACD_DIFF,BB_MAVG,BB_HIGH,BB_LOW,Target_Close_Next
2015-02-20,28.795429229736328,32.375,32.375,32.01250076293945,32.154998779296875,195793600,78.44932224540344,1.1549226865437312,0.9924248316485568,0.16249785489517443,30.21199998855591,33.07467374643029,27.34932623068153,33.25
2015-02-23,29.573692321777344,33.25,33.25,32.415000915527344,32.505001068115234,283896400,82.17219288469845,1.2324544868224692,1.0404307626833393,0.19202372413912983,30.462249946594238,33.46499411838937,27.45950577479911,33.04249954223633
2015-02-24,29.389123916625977,33.04249954223633,33.400001525878906,32.79249954223633,33.23500061035156,276912400,78.70012563788495,1.2626009663437792,1.0848648034154273,0.17773616292835182,30.70062494277954,33.72781948586118,27.673430399697896,32.1974983215332
2015-02-25,28.63755226135254,32.1974983215332,32.900001525878906,32.037498474121094,32.88999938964844,298846800,66.39654087123866,1.2044238832192704,1.1087766193761959,0.09564726384307454,30.946249866485594,33.599061094798756,28.293438638172436,32.60499954223633
2015-02-26,28.9999942779541,32.60499954223633,32.717498779296875,31.65250015258789,32.1974983215332,365150000,68.91998514684067,1.177625139024311,1.122546323305819,0.05507881571849205,31.13512487411499,33.693870996687025,28.576378751542954,32.1150016784668
2015-02-27,28.564178466796875,32.1150016784668,32.64250183105469,32.060001373291016,32.5,248059200,62.811944387693266,1.1041205937386813,1.1188611773923915,-0.014740583653710226,31.254624938964845,33.76149592710338,28.74775395082631,32.272499084472656
2015-03-02,28.70426368713379,32.272499084472656,32.56999969482422,32.07500076293945,32.3125,192386800,63.91882634729064,1.0465128872989666,1.1043915193737066,-0.05787863207473998,31.403749847412108,33.77666224411329,29.030837450710926,32.34000015258789
2015-03-03,28.764299392700195,32.34000015258789,32.380001068115234,32.022499084472656,32.2400016784668,151265200,64.40778793290986,0.9948372721625276,1.0824806699314709,-0.08764339776894325,31.53787488937378,33.801542240408885,29.274207538338672,32.1349983215332
2015-03-04,28.581974029541016,32.1349983215332,32.38999938964844,32.08000183105469,32.275001525878906,126665200,61.67422206143654,0.9266600797958517,1.051316551904347,-0.12465647210849529,31.661499786376954,33.76648500845658,29.556514564297334,31.602500915527344
2015-03-05,28.10834503173828,31.602500915527344,32.1875,31.440000534057617,32.14500045776367,226068400,55.12911681181286,0.8202062462112849,1.0050944907657346,-0.18488824455444974,31.747124862670898,33.68998090794102,29.804268817400775,31.649999618530277
2015-03-06,28.15059280395508,31.649999618530277,32.342498779296875,31.565000534057617,32.099998474121094,291368400,55.58193258996765,0.7312442361357299,0.9503244398397337,-0.21908020370400383,31.830374813079835,33.59894420164161,30.061805424518063,31.78499984741211
2015-03-09,28.270660400390625,31.78499984741211,32.39250183105469,31.26499938964844,31.989999771118164,354114000,56.91282334407436,0.6639806369715444,0.8930556792660959,-0.22907504229455145,31.93299980163574,33.41822915237802,30.44777045089346,31.127500534057617
2015-03-10,27.685863494873047,31.127500534057617,31.80500030517578,30.950000762939453,31.602500915527344,275426400,49.18340485079237,0.551264417336327,0.8246974268801421,-0.2734330095438151,31.992874813079833,33.22532382775533,30.76042579840433,30.559999465942383
2015-03-11,27.18110656738281,30.559999465942383,31.1924991607666,30.52750015258789,31.1875,275756000,43.670495247429315,0.41140103278858575,0.7420381480618309,-0.33063711527324513,31.995624828338624,33.214957385181286,30.776292271495958,31.112499237060547
2015-03-12,27.67252349853516,31.112499237060547,31.225000381469727,30.40749931335449,30.57749938964844,193450800,49.59419378381455,0.34120718295817554,0.6618719550410997,-0.3206647720829242,31.990249824523925,33.22407294621018,30.756426702837672,30.897499084472656
2015-03-13,27.481290817260746,30.897499084472656,31.350000381469727,30.645000457763672,31.100000381469727,207309200,47.50080757805957,0.26517259119847125,0.5825320822725741,-0.3173594910741029,31.95437479019165,33.268844165534624,30.639905414848673,31.237499237060547
2015-03-16,27.7836971282959,31.237499237060547,31.237499237060547,30.717500686645508,30.96999931335449,143497200,51.02165841548989,0.22970193927182692,0.5119660536724246,-0.28226411440059773,31.927749729156496,33.277185720990786,30.5783137373222,31.76000022888184
2015-03-17,28.24842643737793,31.76000022888184,31.82999992370605,31.412500381469727,31.475000381469727,204092400,55.91472624417448,0.24097484734613062,0.45776781240716585,-0.21679296506103524,31.9178747177124,33.269184597218825,30.566564838205977,32.11750030517578
2015-03-18,28.56640243530273,32.11750030517578,32.290000915527344,31.592500686645508,31.75,261083600,58.937439108113985,0.2755792703298354,0.4213301039916998,-0.14575083366186437,31.914749717712404,33.26390776563158,30.56559166979323,31.875
2015-03-19,28.350717544555664,31.875,32.3125,31.850000381469727,32.1875,183238000,56.12624906778123,0.28020573954430006,0.39310523110221984,-0.11289949155791978,31.902874755859376,33.24903908940866,30.556710422310086,31.475000381469727
2015-03-20,27.99493980407715,31.475000381469727,32.099998474121094,31.290000915527344,32.0625,274780400,51.74219628491693,0.24872843685755797,0.36422987225328746,-0.11550143539572949,31.85787477493286,33.198058816998554,30.517690732867162,31.802499771118164
2015-03-23,28.28622817993164,31.802499771118164,31.962499618530277,31.6299991607666,31.780000686645508,150838800,54.851671051938254,0.24735752780875941,0.34085540336438186,-0.09349787555562245,31.78549976348877,32.963698153929556,30.607301373047978,31.67250061035156
2015-03-24,28.17060852050781,31.67250061035156,32.0099983215332,31.63999938964844,31.8075008392334,131369200,53.38131178433254,0.23309426113890552,0.3193031749192866,-0.08620891378038109,31.716999816894532,32.744582684341864,30.689416949447203,30.84499931335449
